"last_name, first_name","player_id","year","pa","home_run","k_percent","bb_percent","b_total_ball","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Dietrich, Derek",518618,2018,551,16,25.4,5.3,"741",".326",".303",34.1,6.1,37.8,"99.045312376","93.544161413",25.5,50.5
"Freeman, Freddie",518692,2018,707,23,18.7,10.7,"974",".378",".388",44.7,9.3,39.8,"99.091841098","93.722198676",24.3,55.6
"Grandal, Yasmani",518735,2018,518,24,23.9,13.9,"898",".352",".337",32.9,11.6,40.4,"99.742040255","93.988959204",28,38.5
"LeMahieu, DJ",518934,2018,581,15,14.1,6.4,"789",".322",".326",31.3,5.2,43.2,"100.986973904","94.873592632",14,41.9
"Moustakas, Mike",519058,2018,635,28,16.2,7.7,"843",".329",".336",31.3,8.8,39.1,"100.225167764","94.281679979",21.9,52.2
"Rizzo, Anthony",519203,2018,665,25,12,10.5,"881",".359",".367",36.2,6.5,40.6,"100.439451098","94.335677882",17,47.7
"Stanton, Giancarlo",519317,2018,705,38,29.9,9.9,"1166",".360",".345",30,15.1,50.8,"106.893910918","98.042255411",34.4,44.9
"Galvis, Freddy",520471,2018,656,13,22.4,6.9,"871",".294",".273",32.3,3.9,28.9,"96.514213591","92.377750068",26.4,50.3
"Perez, Salvador",521692,2018,544,27,19.9,3.1,"591",".304",".334",35.4,10.8,47.5,"101.386645369","95.018960271",23.8,57
"Inciarte, Ender",542255,2018,660,10,13,7.4,"829",".308",".296",32.8,1.5,18.7,"93.757705476","90.921322698",14.9,50.3
"Ozuna, Marcell",542303,2018,628,23,17.5,6.1,"853",".327",".354",30.3,9.7,45.1,"102.886295042","95.740956463",24.3,48.5
"Villar, Jonathan",542340,2018,515,14,26.8,8,"790",".312",".288",27.2,5.1,36,"98.982895563","93.56982325",29.5,48.9
"Aguilar, Jesús",542583,2018,566,35,25.3,10.2,"882",".374",".356",38.2,11.4,42.9,"100.514656","94.533110864",28.7,45.5
"Crawford, Brandon",543063,2018,594,14,20.5,8.4,"780",".306",".305",37.2,3.6,33.3,"97.383235194","92.718286578",29.2,52.1
"Cron, C.J.",543068,2018,560,30,25.9,6.6,"752",".347",".345",34.3,12.2,36.6,"100.817058453","94.484469806",29.1,50.8
"Hicks, Aaron",543305,2018,581,27,19.1,15.5,"1069",".360",".372",34.2,8.8,43,"99.91669773","94.148582324",23.1,40
"Hosmer, Eric",543333,2018,677,18,21,9.2,"967",".309",".302",26.3,5.9,38.2,"100.755741595","94.460155032",27.7,48.5
"Kipnis, Jason",543401,2018,601,18,18.6,10,"928",".308",".318",34.4,6.6,31.6,"96.725167833","92.385166305",20.8,43
"Rendon, Anthony",543685,2018,597,24,13.7,9.2,"825",".383",".384",39.8,10.3,44.8,"100.518330132","94.575829692",13.9,47.7
"Semien, Marcus",543760,2018,703,15,18.6,8.7,"1102",".307",".305",34.9,4.5,32.1,"96.985600317","92.497777778",20.3,43.8
"Shaw, Travis",543768,2018,587,32,18.4,13.3,"961",".351",".350",31.2,10.3,38.3,"100.143580711","94.174454707",20.3,44.8
"Springer III, George",543807,2018,617,22,19.8,10.4,"996",".340",".346",30.1,8.9,37.4,"100.053591643","94.091163859",24.6,44.3
"Strange-Gordon, Dee",543829,2018,588,4,13.6,1.5,"584",".277",".272",30.2,0.2,12.5,"92.172521004","90.196982686",15.6,55.1
"Gregorius, Didi",544369,2018,569,27,12.1,8.4,"752",".350",".318",32.8,4.7,30.8,"97.146679227","92.592951727",19.5,51.7
"Trout, Mike",545361,2018,608,39,20.4,20.1,"1075",".447",".434",41,16.5,46.2,"103.530154261","96.114603105",18.6,37.6
"Herrera, Odúbel",546318,2018,597,22,20.4,6.4,"762",".315",".285",28.8,4.9,31.9,"98.41611554","93.233040518",27.6,52.4
"Harper, Bryce",547180,2018,695,34,24.3,18.7,"1224",".376",".391",35.1,11.5,45.4,"102.062017113","95.359408191",31.4,45.7
"Abreu, José",547989,2018,553,22,19.7,6.7,"713",".337",".356",35.4,9.1,45.2,"102.778714091","95.630259116",24.6,49
"Suárez, Eugenio",553993,2018,606,34,23.4,10.6,"948",".376",".373",38.6,9.7,45.6,"101.179570462","94.983993462",25.7,44.7
"Polanco, Gregory",570256,2018,534,23,21.9,11.4,"871",".353",".339",33.6,9.4,37.8,"99.828552069","93.989606945",24,45.3
"Sánchez, Yolmer",570560,2018,662,8,20.8,7.4,"861",".297",".289",35.1,3,28.3,"96.258067895","92.139175077",21.5,47.9
"Arenado, Nolan",571448,2018,673,38,18.1,10.8,"959",".391",".353",35.6,7.2,40.5,"99.562138945","94.062325687",24.6,49.8
"Barnhart, Tucker",571466,2018,522,10,18.4,10.3,"775",".307",".301",35.7,3.5,30.3,"96.579929171","92.342225651",20.2,45.7
"Gennett, Scooter",571697,2018,638,23,19.6,6.6,"819",".362",".311",37.5,5.8,32.3,"97.179696753","92.670910889",20.2,53.6
"Hamilton, Billy",571740,2018,556,4,23.7,8.3,"746",".277",".256",36.6,0.5,8.5,"89.217314033","89.436125276",23.9,48.6
"Haniger, Mitch",571745,2018,683,26,21.7,10.2,"1064",".367",".366",36.5,10.3,43.2,"100.909986608","94.71924207",23.3,41.8
"Piscotty, Stephen",572039,2018,605,27,18.8,6.9,"713",".351",".356",34.3,9.6,38.7,"99.557644654","93.875006475",25.5,53.3
"Seager, Kyle",572122,2018,630,22,21.9,6,"898",".288",".305",37,5.6,39.6,"98.826304866","93.604766094",22.3,47.2
"Carpenter, Matt",572761,2018,676,36,23.4,15.1,"1180",".375",".389",44.1,13.7,44.7,"100.1082214","94.5737371",24.2,37.5
"Dickerson, Corey",572816,2018,533,13,15,3.9,"594",".341",".330",37.6,6.1,32.4,"97.786101745","92.916270165",22.1,59.4
"Dozier, Brian",572821,2018,632,21,20.4,11.1,"1047",".304",".288",30.5,6.3,29.4,"96.03410601","92.028184038",22.6,39.8
"Contreras, Willson",575929,2018,544,10,22.2,9.7,"768",".321",".303",28.9,7.3,33.3,"99.890442931","93.949346351",28.1,49.7
"Castellanos, Nick",592206,2018,678,23,22.3,7.2,"831",".363",".374",45.3,11.2,40.7,"99.334787542","93.887539089",30.2,55.1
"Healy, Ryon",592387,2018,524,24,21.6,5.2,"652",".296",".322",32.2,7.1,41.6,"100.362215526","94.321891316",25.4,47.5
"Machado, Manny",592518,2018,709,37,14.7,9.9,"955",".377",".369",33.8,11.3,48.2,"102.92654779","95.846052083",22.2,48.9
"Realmuto, J.T.",592663,2018,529,21,19.7,7.2,"738",".353",".351",39.8,9,41.2,"99.592811111","93.991368276",22.5,47.1
"Rosario, Eddie",592696,2018,592,24,17.6,5.1,"660",".340",".302",32.5,8.3,34.2,"97.544744865","92.844520405",23.4,58
"Simmons, Andrelton",592743,2018,600,11,7.3,5.8,"730",".326",".316",28.3,4.1,36.3,"98.349949646","93.226546693",13.7,45.6
"Yelich, Christian",592885,2018,651,36,20.7,10.4,"973",".422",".416",36.7,12.9,50.8,"103.601265936","96.465574863",22.9,44.3
"Merrifield, Whit",593160,2018,707,12,16.1,8.6,"979",".349",".343",40.9,4.6,31.2,"96.66095251","92.375330251",19,47.9
"Bogaerts, Xander",593428,2018,580,23,17.6,9.5,"859",".373",".363",32.9,9.8,41.8,"101.100815529","94.926741831",21.1,43.2
"Calhoun, Kole",594777,2018,551,19,24.1,9.6,"806",".283",".332",34.3,9.3,43.1,"99.929027308","94.32071272",28.5,49.2
"Profar, Jurickson",595777,2018,594,20,14.8,9.1,"820",".341",".323",33.6,5,31.8,"97.443892545","92.779007182",18.7,48.6
"Báez, Javier",595879,2018,645,34,25.9,4.5,"710",".366",".340",33.1,12.6,43.3,"101.960975256","95.233508395",33.9,57.9
"Lindor, Francisco",596019,2018,745,38,14.4,9.4,"1079",".368",".375",34.3,9.3,41,"100.765468945","94.6836536",17.6,47.1
"Odor, Rougned",596059,2018,535,18,23.7,8,"705",".325",".318",30.5,7.1,38.7,"100.916553114","94.677154835",23.1,48.5
"Story, Trevor",596115,2018,656,37,25.6,7.2,"931",".384",".358",38.2,12.7,46.2,"102.395632222","95.482000348",24.9,50.3
"Kepler, Max",596146,2018,611,20,15.7,11.6,"939",".316",".324",30.1,6.6,38.2,"99.909473889","94.078713565",17.8,42.7
"Bradley Jr., Jackie",598265,2018,535,13,25.6,8.6,"822",".310",".343",35.2,10.3,50.1,"101.981686","95.654560855",30.7,47.3
"Candelario, Jeimer",600869,2018,619,19,25.8,10.7,"1028",".311",".292",32,6,33.6,"98.291855781","93.146780938",25.6,42.6
"Ahmed, Nick",605113,2018,564,16,19.3,7.1,"729",".300",".292",36.3,5.1,30,"96.624658634","92.358719756",25.3,50.4
"Anderson, Brian",605119,2018,670,11,19.3,9.3,"999",".333",".334",29.2,5.8,42.4,"100.726437706","94.570017532",24.3,46.3
"Bell, Josh",605137,2018,583,12,17.8,13.2,"983",".336",".340",29.6,7,39.3,"100.957818392","94.683419372",24.4,43
"Betts, Mookie",605141,2018,614,32,14.8,13.2,"1095",".449",".431",39.4,14.1,50.6,"101.383521852","95.486972454",15.5,35.6
"Smith, Mallex",605480,2018,544,2,18,8.6,"744",".339",".302",32.2,1.5,23,"94.839756471","91.431387433",25.6,49.6
"Hernández, Teoscar",606192,2018,523,22,31.2,7.8,"760",".328",".342",35.1,15.5,46.2,"102.514606266","95.623418576",38.5,49.5
"Peraza, José",606299,2018,683,14,11,4.2,"752",".319",".304",38.2,2.5,23.6,"95.18880011","91.637686636",13.8,49.9
"Marte, Ketel",606466,2018,580,14,13.6,9.3,"819",".330",".320",28.8,5,36.9,"99.695361455","93.90705754",16.2,45.9
"Nimmo, Brandon",607043,2018,535,17,26.2,15,"922",".385",".349",33.4,6.5,42.1,"100.251318483","94.380795517",26.5,39.4
"Turner, Trea",607208,2018,740,19,17.8,9.3,"1094",".331",".335",29,5.8,38.6,"99.818035769","94.018835173",20.2,44
"Pillar, Kevin",607680,2018,542,15,18.1,3.3,"570",".302",".321",39.3,5.7,36.7,"98.807658182","93.42694189",22.4,54
"Ramírez, José",608070,2018,698,39,11.5,15.2,"1292",".391",".365",34.3,8.3,35.1,"98.357231341","93.291449939",13.6,38.6
"Bregman, Alex",608324,2018,705,31,12.1,13.6,"1183",".396",".369",37.9,7.6,39.9,"98.834674016","93.548064961",12.9,37.1
"Gallo, Joey",608336,2018,577,40,35.9,12.8,"920",".343",".369",37.5,22.5,49.5,"105.865542192","97.404336976",40.8,48.6
"Mazara, Nomar",608577,2018,536,20,21.6,7.5,"797",".324",".332",28.2,8.5,43.4,"101.765366011","95.130262527",25.4,46.1
"Andujar, Miguel",609280,2018,606,27,16,4.1,"697",".361",".317",34.6,6.3,36.5,"99.385829292","93.793774438",19.7,53.1
"Swanson, Dansby",621020,2018,533,14,22.9,8.3,"718",".293",".281",32.1,4.1,34,"98.225714101","93.153072781",25.4,50.1
"Taylor, Chris",621035,2018,604,17,29.5,9.1,"919",".335",".321",39.5,8.3,38.5,"99.231367955","93.702039687",31.5,47.6
"Wendle, Joey",621563,2018,545,7,17.6,6.8,"672",".338",".304",31.8,2.7,35.7,"97.93373985","93.0904531",20.6,46.7
"Olson, Matt",621566,2018,660,29,24.7,10.6,"1141",".340",".357",35.1,12.2,52.2,"103.477196555","96.467492926",27.5,44.4
"Duffy, Matt",622110,2018,560,4,16.6,8.4,"786",".323",".310",33.7,1.2,28.1,"96.121480485","92.150025572",17.3,46.5
"Margot, Manuel",622534,2018,519,8,17,6.2,"669",".288",".293",34,3.3,37,"99.341797113","93.825767442",21,46.6
"Camargo, Johan",622666,2018,524,19,20.6,9.7,"741",".346",".307",31.2,5,33.7,"97.769704389","92.943354123",26.6,49.5
"Conforto, Michael",624424,2018,638,28,24.9,13.2,"1041",".342",".340",36.6,9.5,37.8,"99.317855233","93.722309275",27.7,43.2
"Anderson, Tim",641313,2018,606,20,24.6,5,"697",".294",".272",33.3,4.7,27.9,"96.290161381","92.154393786",27.7,54.1
"Bellinger, Cody",641355,2018,632,25,23.9,10.9,"1019",".345",".327",32,8.6,38.9,"100.286797015","94.235645224",29.7,45.1
"Mancini III, Trey",641820,2018,636,24,24.1,6.9,"877",".308",".328",27.6,11.8,42.9,"101.237612949","94.749301728",27.7,49.5
"Rosario, Amed",642708,2018,592,9,20.1,4.9,"628",".290",".289",32.4,3.9,32.3,"97.6158547","92.837680624",26,54.3
"Benintendi, Andrew",643217,2018,661,16,16,10.7,"1014",".357",".353",37.3,6.4,33.7,"98.01397825","93.080004927",19.2,46
"Albies, Ozzie",645277,2018,684,24,17,5.3,"800",".324",".301",34,4.7,29.4,"96.721019502","92.378085701",22.1,56.8
"Chapman, Matt",656305,2018,616,24,23.7,9.4,"1005",".369",".338",30.5,8.9,47.8,"103.455659303","96.18152783",23.7,41.5
"Hoskins, Rhys",656555,2018,660,34,22.7,13.2,"1208",".363",".348",35.8,11.4,39.2,"99.687281602","93.966953625",21.9,39.2
"Schwarber, Kyle",656941,2018,510,26,27.5,15.3,"879",".343",".350",34,12.7,45,"102.880206783","95.766867343",30.3,41.7
"Moncada, Yoán",660162,2018,650,17,33.4,10.3,"1062",".311",".298",36.4,9.6,44.2,"100.753027017","94.65083072",31.1,41.2
"Pujols, Albert",405395,2019,545,23,12.5,7.9,"746",".308",".319",26.5,5.8,36.6,"98.702028255","93.397586981",18.2,44.5
"Cabrera, Miguel",408234,2019,549,12,19.7,8.7,"720",".318",".331",38.5,6.4,44.4,"100.398112564","94.438305641",24.4,49.6
"Choo, Shin-Soo",425783,2019,660,24,25,11.8,"1094",".353",".362",31.8,8.8,49,"102.002794264","95.652745761",29.3,42.4
"Jones, Adam",430945,2019,528,16,19.1,5.9,"610",".308",".319",31.3,6.7,31,"97.264484508","92.647410494",26.7,54.5
"Cruz Jr., Nelson",443558,2019,521,41,25.1,10.7,"853",".417",".415",38.3,19.9,51.5,"105.351946319","97.322233957",32.6,46.2
"Longoria, Evan",446334,2019,508,20,22,8.5,"731",".322",".351",35.8,7.5,40.8,"99.366085607","93.904958902",25.7,46.8
"Fowler, Dexter",451594,2019,574,19,24.7,12.9,"985",".326",".340",40.6,7.4,28.7,"96.524358779","92.292498076",27.1,42.9
"Cabrera, Asdrúbal",452678,2019,514,18,20,11.1,"786",".331",".317",37.3,5.7,35.3,"97.630785829","92.935685272",20.6,45.5
"Blackmon, Charlie",453568,2019,634,32,16.4,6.3,"814",".387",".367",36.8,8.3,40.3,"99.698822","94.031157328",19.7,49.9
"Cain, Lorenzo",456715,2019,623,11,17,8,"949",".302",".335",31.1,4.1,42.1,"100.238276903","94.349469379",19.2,44.7
"Turner, Justin",457759,2019,549,27,16,9.3,"799",".370",".377",38.6,7.8,43,"99.316567333","94.054303103",17.2,45.5
"Votto, Joey",458015,2019,608,15,20.2,12.5,"1002",".332",".347",40.7,6.9,38.2,"98.39220904","93.284395747",19.6,41.5
"Gardner, Brett",458731,2019,550,28,19.6,9.5,"937",".344",".299",29.5,4.1,32.7,"97.488521211","92.787581583",19.9,38.7
"Braun, Ryan",460075,2019,508,22,20.7,6.7,"636",".354",".339",33.3,9.5,45.3,"102.052932898","95.456152393",24.9,51.6
"Gordon, Alex",460086,2019,633,13,15.8,8.1,"887",".319",".330",33.7,5.4,38.4,"98.714198996","93.515087773",21.8,48.1
"Andrus, Elvis",462101,2019,648,12,14.8,5.2,"874",".300",".311",32.5,3.5,34.8,"98.037067647","93.090040864",19.6,46.4
"Ramos, Wilson",467092,2019,524,14,13.2,8.4,"591",".327",".314",25.8,4.7,42.5,"100.551024657","94.552424005",20.5,53.9
"Santana, Carlos",467793,2019,686,34,15.7,15.7,"1218",".380",".367",29.1,9.6,44.9,"101.70770382","95.190037742",20.4,39.5
"Belt, Brandon",474832,2019,616,17,20.6,13.5,"1014",".319",".346",41.4,8.7,35.7,"97.86413404","92.972052601",22.8,46.3
"Brantley Jr., Michael",488726,2019,637,22,10.4,8,"840",".367",".357",36.3,5.5,37.3,"98.944887791","93.592931345",10.7,43.8
"Gurriel Jr., Yuli",493329,2019,612,31,10.6,6,"700",".364",".321",33.5,3.6,38.1,"99.115304494","93.675495972",14.8,49.7
"Rojas, Miguel",500743,2019,526,5,11.8,6.1,"639",".305",".299",31.9,2.6,28.8,"96.91060967","92.477684269",16.5,47.1
"Escobar, Eduardo",500871,2019,699,35,18.6,7.2,"902",".341",".326",38.6,7,31.4,"96.833323953","92.47242407",24.8,52.6
"Davis, Khris",501981,2019,533,23,27.4,8.8,"782",".289",".317",31.5,9.8,40.4,"100.123268606","94.332532128",34.9,51.8
"Pham, Tommy",502054,2019,654,21,18.8,12.4,"1075",".349",".354",29.7,7.9,45,"101.772675315","95.171833612",20.2,38.4
"Martinez, J.D.",502110,2019,657,36,21,11,"920",".386",".400",41.9,12,48.3,"102.267810181","95.582029229",26.7,49.5
"Reddick, Josh",502210,2019,550,14,12,6.5,"695",".308",".316",36,3.4,29.4,"96.674681023","92.339940093",14.8,51.3
"Goldschmidt, Paul",502671,2019,682,34,24.3,11.4,"1054",".346",".359",36.4,11.3,42.4,"101.099060419","94.813832214",26.3,46.5
"Altuve, Jose",514888,2019,548,31,15,7.5,"724",".374",".344",28.2,8.1,34.5,"98.232746332","93.15652902",20.7,47.6
"Hernández, César",514917,2019,667,14,15,6.7,"921",".315",".302",32,2.7,28.3,"96.063685391","92.063206289",17.2,46
"Segura, Jean",516416,2019,618,12,11.8,4.9,"723",".315",".310",31,3.2,32.7,"98.140826245","93.158728356",14.6,47.5
"Castro, Starlin",516770,2019,676,22,16.4,4.1,"844",".307",".314",29.6,6.2,37.7,"99.25870618","93.71512167",19.1,49.2
"Marte, Starling",516782,2019,586,23,16,4.3,"736",".353",".362",31.3,8,38.6,"100.167259491","94.183408704",25.1,53.7
"Donaldson, Josh",518626,2019,659,37,23.5,15.2,"1147",".377",".385",33.3,15.7,50.5,"103.481444646","96.329034343",29.9,43.9
"Freeman, Freddie",518692,2019,692,38,18.4,12.6,"1067",".387",".397",40,12.3,42.5,"100.291077106","94.346356255",24.3,52.1
"Grandal, Yasmani",518735,2019,632,28,22,17.2,"1134",".361",".366",37.5,11.3,41.8,"101.083447676","94.798444108",25.5,38.5
"Heyward, Jason",518792,2019,589,21,18.7,11.5,"866",".328",".323",31.8,5.7,36.5,"99.605955423","93.856621272",22.7,45.5
"LeMahieu, DJ",518934,2019,655,26,13.7,7,"873",".375",".378",36.2,7.5,48.7,"101.290348333","95.241788097",16,45.6
"Moustakas, Mike",519058,2019,584,35,16.8,9.1,"839",".348",".350",32.3,10.3,40.8,"100.616091659","94.477699005",24.9,49.9
"Rizzo, Anthony",519203,2019,613,27,14,11.6,"946",".390",".388",36.8,6.8,37,"100.200593521","94.167510706",19.7,45.7
"Galvis, Freddy",520471,2019,589,23,24.6,4.8,"718",".307",".280",31.8,5.5,36.4,"97.641622","92.96163978",28.5,54.4
"García, Avisaíl",541645,2019,530,20,23.6,5.8,"650",".334",".343",34.1,11.7,40.3,"102.26663962","95.27715218",32,56.4
"Ozuna, Marcell",542303,2019,549,29,20.8,11.3,"894",".336",".375",32.8,12.1,49.2,"102.910036923","95.876849368",27.6,44.9
"Villar, Jonathan",542340,2019,714,24,24.6,8.5,"1032",".335",".315",30.3,6.8,37.1,"100.064624522","94.076027283",27.5,49.8
"Santana, Danny",542454,2019,511,28,29.5,4.9,"612",".352",".345",37.8,9.5,43.6,"100.974542805","94.798723537",32.1,55.8
"Crawford, Brandon",543063,2019,560,11,20.9,9.5,"803",".281",".306",36.7,5.4,35.1,"97.781885729","92.971044648",28.3,51.3
"Hosmer, Eric",543333,2019,667,22,24.4,6,"908",".309",".304",29.1,7.2,46,"102.123969913","95.383913595",28.9,50
"Kipnis, Jason",543401,2019,511,17,17.2,7.8,"723",".301",".316",33.1,5.5,34.4,"97.701285761","92.914942527",20.4,46.3
"Rendon, Anthony",543685,2019,646,34,13.3,12.4,"1036",".413",".414",38.7,12,46.6,"100.105818761","94.364729594",12.9,43.1
"Semien, Marcus",543760,2019,747,33,13.7,11.6,"1184",".373",".363",34,8.5,38.1,"98.394543077","93.291025385",18.3,42.2
"Springer III, George",543807,2019,556,39,20.3,12.1,"948",".400",".400",31.6,14.1,44.8,"102.243162402","95.348781653",26.5,44
"Vázquez, Christian",543877,2019,521,23,19.4,6.3,"678",".331",".310",38.5,5.9,40.3,"98.607970314","93.531031811",20.5,49.9
"Wong, Kolten",543939,2019,549,11,15.1,8.6,"724",".334",".297",28.6,2.2,25.4,"96.025301799","92.013404021",18.4,48
"Garcia, Leury",544725,2019,618,8,22.5,3.4,"675",".294",".272",30.3,3.8,29.9,"97.233707717","92.660403959",24.6,54.4
"Grichuk, Randal",545341,2019,628,31,26,5.6,"834",".307",".304",31.3,8.5,39.8,"100.740131792","94.423631368",28.1,50.2
"Trout, Mike",545361,2019,600,45,20,18.3,"1106",".436",".460",43.8,18.9,44.4,"103.466773886","95.970475845",19.2,36.8
"Harper, Bryce",547180,2019,682,35,26.1,14.5,"1117",".365",".387",37.6,14.8,45.6,"103.137354264","96.043547766",33.8,48.7
"Abreu, José",547989,2019,693,33,21.9,5.2,"937",".344",".358",35.2,12.8,48.2,"103.146324797","95.996655894",25.3,49.5
"Suárez, Eugenio",553993,2019,662,49,28.5,10.6,"1046",".381",".355",38,13.8,40.8,"100.844864896","94.608867917",28.7,44.4
"Santana, Domingo",570267,2019,507,21,32.3,9.9,"796",".326",".342",40.1,12.1,42.1,"100.050234643","94.228038964",31.9,46.8
"Sánchez, Yolmer",570560,2019,555,2,21.1,7.9,"760",".281",".274",32.1,1,27,"95.805694709","91.918524721",22.8,48.8
"Arenado, Nolan",571448,2019,662,41,14,9.4,"861",".392",".343",34.6,8,37.6,"99.240765317","93.75734495",20.9,51.4
"Muncy, Max",571970,2019,589,35,25.3,15.3,"1075",".372",".380",38.9,12,43.4,"100.624856095","94.560041662",28.9,40.1
"Voit III, Luke",572228,2019,510,21,27.8,13.9,"817",".360",".368",39.6,13.9,42.4,"101.044367708","94.803622951",35.1,47.3
"Walker, Christian",572233,2019,603,29,25.7,11.1,"945",".346",".364",34.1,13.1,48.8,"102.727625691","95.697243147",28.8,48.7
"Iglesias, Jose",578428,2019,530,11,13.2,3.8,"523",".306",".284",29.7,2.3,24.2,"94.71843919","91.441140476",15.3,55.5
"Bryant, Kris",592178,2019,634,31,22.9,11.7,"955",".379",".349",35.8,9.3,34.1,"98.53167269","93.281246777",28.4,48.5
"Castellanos, Nick",592206,2019,664,27,21.5,6.2,"816",".357",".363",39.8,10.9,41.5,"99.936858686","94.155142055",26.9,54.7
"Machado, Manny",592518,2019,661,32,19.4,9.8,"924",".335",".343",31.2,8,43.7,"102.073663723","95.40263803",24.2,46.7
"Moran, Colin",592567,2019,503,13,23.3,6,"593",".315",".314",37.1,7.4,34.8,"98.556321897","93.372829654",24.7,53.7
"Pederson, Joc",592626,2019,514,36,21.6,9.7,"785",".362",".344",31.4,10.3,43.5,"101.926819048","95.251138896",24.1,46.1
"Realmuto, J.T.",592663,2019,593,25,20.7,6.9,"816",".340",".341",35,8.7,41.1,"101.081746462","94.730632317",23.8,50.7
"Rosario, Eddie",592696,2019,590,32,14.6,3.7,"654",".329",".327",33.2,8.5,36,"98.424787531","93.352567757",21.3,59.3
"Yelich, Christian",592885,2019,580,44,20.3,13.8,"930",".442",".429",33.2,15.8,49.1,"104.869553459","97.015311892",28.3,45.2
"Merrifield, Whit",593160,2019,735,16,17.1,6.1,"940",".340",".325",42.4,4.5,29.2,"96.252648182","92.167329527",20.1,49.3
"Bogaerts, Xander",593428,2019,698,33,17.5,10.9,"1044",".390",".356",35.1,8.6,44.5,"101.168690363","94.874752258",20.9,41.1
"Alberto, Hanser",593643,2019,550,12,9.1,2.9,"492",".318",".300",32.5,2.9,18.5,"94.197573506","91.107926269",14.5,59.1
"Polanco, Jorge",593871,2019,704,22,16.5,8.5,"1040",".352",".341",41.6,6.7,33.1,"97.46599549","92.78121002",17.5,44.9
"Calhoun, Kole",594777,2019,632,33,25.6,11.1,"927",".330",".339",35.2,11.2,42.6,"99.943105052","94.209946136",32.1,48.2
"Eaton, Adam",594809,2019,656,15,16.2,9.9,"992",".342",".328",33.9,3.8,34.3,"98.729984311","93.47287412",17.8,44.6
"Profar, Jurickson",595777,2019,518,20,14.5,9.3,"777",".301",".328",29.7,6.5,31.3,"97.141906243","92.584582042",20.2,45.2
"Báez, Javier",595879,2019,561,29,27.8,5,"652",".347",".332",36.3,12.7,43.6,"102.448426524","95.481472949",35.5,55.5
"Lindor, Francisco",596019,2019,654,32,15,7,"856",".349",".333",29.8,7.5,41,"101.130645418","94.847008982",17.1,51.4
"Odor, Rougned",596059,2019,581,30,30.6,9,"883",".302",".321",30.6,13.6,45.6,"101.734976168","95.31182003",29.2,47.9
"Story, Trevor",596115,2019,656,35,26.5,8.8,"1014",".380",".341",36.5,8.6,46,"101.223764423","95.034883125",26.4,48.1
"Vogelbach, Daniel",596129,2019,558,30,26.7,16.5,"1083",".333",".345",39,10.5,38,"100.052249618","94.193186358",26.9,34
"Kepler, Max",596146,2019,596,36,16.6,10.1,"807",".355",".343",30.5,8.9,42.1,"100.805599577","94.514078635",20.2,49.4
"Bradley Jr., Jackie",598265,2019,567,21,27.3,9.9,"824",".314",".318",30.5,9.6,44.8,"100.737430117","94.682078123",32.6,48.1
"Núñez, Renato",600524,2019,599,31,23.9,7.3,"859",".323",".335",32.1,10.7,40.9,"101.416437214","94.827385786",27.4,49.5
"Ahmed, Nick",605113,2019,625,19,18.1,8.3,"810",".315",".321",35.7,6.6,34,"97.728699383","92.939083223",21.3,49.5
"Anderson, Brian",605119,2019,520,20,21.9,8.5,"689",".342",".340",31.3,8.9,46,"100.764886494","94.722101667",27.4,47.5
"Bell, Josh",605137,2019,613,37,19.2,12.1,"992",".378",".386",34.6,12.7,47.2,"103.082487171","96.001241809",25.3,48.1
"Betts, Mookie",605141,2019,706,29,14.3,13.7,"1195",".380",".411",39.4,10.3,47.4,"100.567436587","94.76255839",14.5,38.3
"Smith, Mallex",605480,2019,566,6,24.9,7.4,"814",".278",".256",29,2.2,20.1,"94.189873149","91.140372155",28.2,48.6
"Arcia, Orlando",606115,2019,546,15,20,7.9,"732",".269",".277",26.5,4.3,31.3,"97.613876615","92.86605",24.6,47.7
"Marte, Ketel",606466,2019,628,32,13.7,8.4,"904",".405",".375",34.6,9.3,40,"101.092484421","94.7158706",17.6,47.8
"Turner, Trea",607208,2019,569,19,19.9,7.6,"798",".356",".339",29.8,6.8,42,"101.230091659","94.839620073",23.4,46.9
"Pillar, Kevin",607680,2019,645,21,13.8,2.8,"602",".298",".300",33.1,4.9,30.8,"98.016751985","93.018091033",17.8,58.9
"Ramírez, José",608070,2019,542,23,13.7,9.6,"845",".334",".342",32.6,6.3,35.7,"98.625705777","93.428589029",14.6,42.5
"Bregman, Alex",608324,2019,690,41,12,17.2,"1298",".418",".373",35.5,4.8,38,"98.440477393","93.337376731",14.3,35.1
"Seager, Corey",608369,2019,541,19,18.1,8.1,"732",".340",".331",35.2,7.3,38.2,"98.778797128","93.502181872",25.7,51.1
"Reyes, Franmil",614177,2019,548,37,28.5,8.6,"765",".338",".359",33.3,14.8,51,"103.847694162","96.604159768",36.5,51.5
"Swanson, Dansby",621020,2019,545,17,22.8,9.4,"840",".317",".350",36.7,10.1,41.6,"99.797419121","94.192917747",27.6,45.9
"Newman, Kevin",621028,2019,531,12,11.7,5.3,"621",".339",".303",33.4,2.1,24.8,"94.991693333","91.524680704",13.9,51
"Olson, Matt",621566,2019,547,36,25.2,9.3,"877",".368",".388",36.1,14.5,50.4,"103.334092275","96.341713994",28.1,45.4
